Country_Name,Country_Code,Indicator_Name,Indicator_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1873184358.0,1896648045.0,1962011173.0,2044134078.0,2254748603.0,2359776536.0,2469832402.0,2677653631.0,2843016760.0,2553631285.0,2453631285.0,2637988827.0,2615083799.0,2727932961.0,2791061453.0,2963128492.0,2983798883.0,3092178771.0,3276187709.0,3395793855.0,2610038939.0,3126019385.0,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,284759000000.0,259643000000.0,266529000000.0,354177000000.0,440482000000.0,513942000000.0,577587000000.0,662868000000.0,710536000000.0,721901000000.0,863520000000.0,967825000000.0,975355000000.0,985987000000.0,1006530000000.0,927348000000.0,885176000000.0,1021040000000.0,1007200000000.0,1000830000000.0,927593000000.0,1082000000000.0,1169480000000.0
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,3854235264.0,4539496563.0,5220825049.0,6226198935.0,6971383339.0,9715765105.0,10249770319.0,12154835708.0,15633843662.0,18190413832.0,20203572960.0,20564485419.0,20550582747.0,19998143636.0,18019554403.0,18896353156.0,18418860354.0,18904502222.0,20143451706.0,14583135237.0,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,140946000000.0,148530000000.0,177201000000.0,205214000000.0,254265000000.0,310890000000.0,396921000000.0,465486000000.0,567791000000.0,508363000000.0,598522000000.0,682016000000.0,737589000000.0,833948000000.0,894322000000.0,768645000000.0,691363000000.0,684899000000.0,767026000000.0,822538000000.0,786460000000.0,844460000000.0,877863000000.0
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,9129594819.0,8936079253.0,15285592487.0,17812704626.0,23552057820.0,36970901025.0,52381025105.0,65266415707.0,88538664888.0,70307196477.0,81699526881.0,109437000000.0,124998000000.0,133402000000.0,137244000000.0,87219300385.0,49840491178.0,68972769396.0,77792944472.0,69309110146.0,50241368244.0,65685435100.0,106714000000.0
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258.0,3922100794.0,4348068242.0,5611496257.0,7184685782.0,8052077209.0,8896074996.0,10677324873.0,12881352878.0,12044205572.0,11926926654.0,12890760273.0,12319834233.0,12776224537.0,13228147516.0,11386853143.0,11861199831.0,13019726212.0,15156424062.0,15401826081.0,15162734205.0,17930565119.0,18882095518.0
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1429048106.0,1546912332.0,1755989899.0,2361635782.0,2895047587.0,3159826892.0,3456265062.0,3952397735.0,4085781939.0,3674188229.0,3449925739.0,3629133575.0,3188652765.0,3193512950.0,3271685597.0,2789881259.0,2896610480.0,3000162081.0,3218419897.0,3155149348.0,2891001149.0,3325145407.0,3352032737.0
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,820186000000.0,802881000000.0,807962000000.0,893818000000.0,1062740000000.0,1304400000000.0,1545540000000.0,1797930000000.0,2263030000000.0,1987050000000.0,2334640000000.0,2555980000000.0,2801700000000.0,2859670000000.0,2905730000000.0,2554160000000.0,2537540000000.0,2637110000000.0,2843480000000.0,2868890000000.0,2533380000000.0,2928460000000.0,3557560000000.0
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,104337000000.0,103312000000.0,109816000000.0,124346000000.0,147824000000.0,180617000000.0,222117000000.0,257916000000.0,315475000000.0,253547000000.0,289787000000.0,350666000000.0,384610000000.0,400219000000.0,414105000000.0,370275000000.0,369255000000.0,390517000000.0,427049000000.0,417990000000.0,349473000000.0,415022000000.0,507535000000.0
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,284204000000.0,268697000000.0,97724004252.0,127587000000.0,164658000000.0,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530158000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557532000000.0,643628000000.0,524820000000.0,447755000000.0,385540000000.0,487227000000.0,632770000000.0
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1911563669.0,2118467913.0,2376335048.0,2807061009.0,3576615240.0,4900469515.0,6384452071.0,9206301264.0,11662040704.0,8647937091.0,9260285762.0,10142111812.0,10619320693.0,11121464430.0,11609513241.0,10553337528.0,10546136240.0,11527458713.0,12457940705.0,13619290546.0,12641698594.0,13861409969.0,19502783988.0
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,512000000.0,524000000.0,509000000.0,500000000.0,493000000.0,518000000.0,560000000.0,675000000.0,573000000.0,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,639000000.0,647000000.0,716000000.0,709000000.0,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,826370370.4,800481481.5,814381481.5,856396296.3,919729629.6,1022962963.0,1157662963.0,1312759259.0,1370070370.0,1228329630.0,1148700000.0,1137637037.0,1199948148.0,1181448148.0,1249733333.0,1336692593.0,1436585185.0,1467955556.0,1604770370.0,1675403704.0,1416348148.0,1560518519.0,1757603704.0
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,415845000000.0,379358000000.0,395573000000.0,467498000000.0,614326000000.0,695305000000.0,747907000000.0,854427000000.0,1055690000000.0,928630000000.0,1148570000000.0,1398460000000.0,1546950000000.0,1576330000000.0,1467590000000.0,1350580000000.0,1206560000000.0,1326470000000.0,1428270000000.0,1392220000000.0,1326940000000.0,1552700000000.0,1675420000000.0
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,197290000000.0,197509000000.0,214395000000.0,262274000000.0,301458000000.0,316092000000.0,336280000000.0,389186000000.0,432052000000.0,401759000000.0,392275000000.0,431685000000.0,409402000000.0,430191000000.0,442585000000.0,381971000000.0,395837000000.0,417261000000.0,454991000000.0,444621000000.0,435225000000.0,480368000000.0,471400000000.0
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,5272617196.0,5707618247.0,6236086669.0,7276413079.0,8680410158.0,13245421881.0,20981929498.0,33049426816.0,48851318826.0,44292408817.0,52909294792.0,65952763949.0,69679913510.0,74160553009.0,75239737489.0,53076244755.0,37867007023.0,40866632048.0,47112479289.0,48174235294.0,42693000000.0,54825411765.0,78721058824.0
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,870486065.9,876794723.1,825394519.7,784654423.6,915257323.4,1117113080.0,1273375078.0,1356199387.0,1611835857.0,1781455140.0,2032135191.0,2235820809.0,2333341334.0,2451606632.0,2705783330.0,3104003546.0,2644487777.0,2723586962.0,2667182199.0,2576518879.0,2649680261.0,2775798697.0,3073414678.0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,236792000000.0,236746000000.0,258384000000.0,318083000000.0,369215000000.0,385715000000.0,408260000000.0,470922000000.0,517328000000.0,483254000000.0,481421000000.0,523330000000.0,496153000000.0,521791000000.0,535390000000.0,462336000000.0,476063000000.0,502765000000.0,543299000000.0,535866000000.0,525213000000.0,594352000000.0,578604000000.0
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,3519991440.0,3666222634.0,4194342689.0,5349258093.0,6190270377.0,6567654959.0,7034111316.0,8169048375.0,9787734517.0,9738626510.0,9535345011.0,10693321370.0,11141358106.0,12517845128.0,13284527850.0,11388160997.0,11821065852.0,12701655846.0,14262408080.0,14391686309.0,15651545209.0,17690083520.0,17401746309.0
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,2968370087.0,3190371080.0,3622350066.0,4740768141.0,5451688535.0,6146353177.0,6547419822.0,7625722829.0,9451435481.0,9450696866.0,10109619736.0,12080295985.0,12561015145.0,13444300490.0,13943016080.0,11832159316.0,12833363044.0,14106955625.0,15890066210.0,16178161666.0,17933606213.0,19737616003.0,18884619613.0
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,149991000000.0,172885000000.0,195079000000.0,265236000000.0,293755000000.0,321379000000.0,351238000000.0,373902000000.0,416265000000.0,460201000000.0
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,13245990274.0,14183443862.0,16403043850.0,21144962058.0,26157744753.0,29868651533.0,34380543845.0,44432811756.0,54480697770.0,52023813558.0,50754203891.0,57735709914.0,54290156342.0,55844245264.0,57159557805.0,50828088836.0,53987487124.0,59343060706.0,66399602077.0,68911930628.0,70404359049.0,84061395658.0,89040398406.0
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,9062898936.0,8976196809.0,9593510638.0,11074813830.0,13150159574.0,15968723404.0,18504760638.0,21730000000.0,25710904255.0,22938218085.0,25713271277.0,28776595745.0,30749308511.0,32539468085.0,33387712766.0,31050638298.0,32234973404.0,35473776596.0,37802005319.0,38653318085.0,34621807713.0,39303403989.0,44390820479.0
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720500000.0,10562800000.0,11176100000.0,11672900000.0,11750800000.0,12253500000.0,12653600000.0,13058700000.0,9754600000.0,11527600000.0,12897400000.0
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,5567774049.0,5800616572.0,6728219507.0,8498893358.0,10156541358.0,11222796197.0,12864842269.0,15778737117.0,19112801197.0,17613946109.0,17176320823.0,18644239028.0,17226736285.0,18179104549.0,18558731213.0,16404352156.0,17116926092.0,18326376394.0,20484048416.0,20482603346.0,20226030731.0,23649566069.0,24527507288.0
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,12736856828.0,12354820144.0,14594928109.0,17825437483.0,23141593074.0,30210091837.0,36961822468.0,45275747157.0,60752177439.0,50873181572.0,57231904543.0,61762340943.0,65685903570.0,75527537703.0,78812785768.0,56454895055.0,47723549319.0,54725311690.0,60031163987.0,64410112583.0,61371755326.0,69673747132.0,72793457588.0
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1116000000.0,1163000000.0,1233000000.0,1298000000.0,1389500000.0,1461500000.0,1581000000.0,1696000000.0,1729000000.0,1680500000.0,1738500000.0,1819500000.0,1903000000.0,2029500000.0,2138000000.0,2210500000.0,2258500000.0,2286000000.0,2315000000.0,2416500000.0,2080000000.0,2491500000.0,2824081836.0
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7127200000.0,7550500000.0
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,8397855937.0,8141517339.0,7905485146.0,8082399991.0,8773451752.0,9549122313.0,11451845379.0,13120107739.0,16674276979.0,17339992194.0,19649724656.0,23963162969.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,33941126194.0,37508642171.0,40287647931.0,40895322851.0,36629843806.0,40408208524.0,43068885673.0
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,655448000000.0,559984000000.0,509795000000.0,558234000000.0,669289000000.0,891634000000.0,1107630000000.0,1397110000000.0,1695860000000.0,1667000000000.0,2208840000000.0,2616160000000.0,2465230000000.0,2472820000000.0,2456040000000.0,1802210000000.0,1795690000000.0,2063510000000.0,1916930000000.0,1873290000000.0,1476110000000.0,1649620000000.0,1920100000000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217450800.0,4674007450.0,4784925100.0,4465657300.0,4529928300.0,4657699450.0,4610096000.0,4677248300.0,4696344350.0,4724691200.0,4832811750.0,4981588900.0,5097283200.0,5324250000.0,4671800000.0,4843800000.0,5637914515.0
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,6001280944.0,5601020247.0,5843367180.0,6557395816.0,7872201251.0,9531417164.0,11470462365.0,12247680703.0,14393437610.0,10732592999.0,13707275498.0,18525128230.0,19048443089.0,18094326393.0,17097801092.0,12930292949.0,11400467372.0,12128182464.0,13567164445.0,13469240163.0,12005795915.0,14006497000.0,16681531646.0
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,424448931.0,461479580.2,520846131.7,603999372.4,682577073.5,796938572.0,874989734.7,1168307575.0,1227809261.0,1234015142.0,1547990907.0,1777102586.0,1781280170.0,1756214304.0,1907090362.0,2003596824.0,2158971718.0,2450366108.0,2446867582.0,2535655609.0,2325185521.0,2539551327.0,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,5788329609.0,5489608300.0,5438864269.0,7511582173.0,8957467707.0,9918907108.0,9919158482.0,10567270656.0,10730828592.0,10118459714.0,12637273429.0,15110642876.0,13907464500.0,14271738367.0,15470087926.0,13530749290.0,15082636723.0,16105156376.0,17031943186.0,16725908662.0,14960291541.0,18737066307.0,20352322157.0
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,916777282.7,932648604.4,996068145.6,1142315522.0,1272360517.0,1337894380.0,1461859763.0,1699811293.0,1993407887.0,2067381664.0,2142591539.0,2437982707.0,2510126510.0,1691544111.0,1894813390.0,1695825714.0,1825018144.0,2072349974.0,2220979145.0,2221301351.0,2326720902.0,2516498412.0,2382618615.0
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,744773000000.0,738963000000.0,760649000000.0,895541000000.0,1026690000000.0,1173110000000.0,1319260000000.0,1468820000000.0,1552990000000.0,1374630000000.0,1617340000000.0,1793330000000.0,1828370000000.0,1846600000000.0,1805750000000.0,1556510000000.0,1527990000000.0,1649270000000.0,1725300000000.0,1743730000000.0,1647600000000.0,2001490000000.0,2139840000000.0
